Date,Invoice Number,Customer ID,Product ID,Units Sold,Gross,Sales Tax,Net,Net
1-Oct-17,Inv00234,Cus0203,Pro152,17,25.33,5.83,31.16,32.16
1-Oct-17,Inv00235,Cus0209,Pro153,17,118.83,27.33,146.16,147.16
1-Oct-17,Inv00236,Cus0209,Pro146,4,7,1.61,8.61,9.61
1-Oct-17,Inv00237,Cus0200,Pro151,26,71.5,16.45,87.95,88.95
1-Oct-17,Inv00238,Cus0204,Pro145,21,83.79,19.27,103.06,104.06
1-Oct-17,Inv00239,Cus0201,Pro153,19,132.81,30.55,163.36,164.36
1-Oct-17,Inv00240,Cus0203,Pro147,13,22.75,5.23,27.98,28.98
1-Oct-17,Inv00241,Cus0203,Pro154,24,119.76,27.54,147.3,148.3
1-Oct-17,Inv00242,Cus0203,Pro149,4,17,3.91,20.91,21.91
1-Oct-17,Inv00243,Cus0210,Pro149,5,21.25,4.89,26.14,27.14
1-Oct-17,Inv00244,Cus0206,Pro149,27,114.75,26.39,141.14,142.14
1-Oct-17,Inv00245,Cus0206,Pro146,17,29.75,6.84,36.59,37.59
1-Oct-17,Inv00246,Cus0210,Pro147,8,14,3.22,17.22,18.22
1-Oct-17,Inv00247,Cus0204,Pro153,18,125.82,28.94,154.76,155.76
1-Oct-17,Inv00248,Cus0208,Pro150,25,131.25,30.19,161.44,162.44
1-Oct-17,Inv00249,Cus0200,Pro152,6,8.94,2.06,11,12
1-Oct-17,Inv00250,Cus0210,Pro147,12,21,4.83,25.83,26.83
1-Oct-17,Inv00251,Cus0210,Pro152,18,26.82,6.17,32.99,33.99
1-Oct-17,Inv00252,Cus0210,Pro152,16,23.84,5.48,29.32,30.32
1-Oct-17,Inv00253,Cus0204,Pro149,14,59.5,13.69,73.19,74.19
1-Oct-17,Inv00254,Cus0201,Pro148,22,76.78,17.66,94.44,95.44
1-Oct-17,Inv00255,Cus0209,Pro145,7,27.93,6.42,34.35,35.35
1-Oct-17,Inv00256,Cus0205,Pro149,4,17,3.91,20.91,21.91
1-Oct-17,Inv00257,Cus0205,Pro153,15,104.85,24.12,128.97,129.97
1-Oct-17,Inv00258,Cus0207,Pro154,21,104.79,24.1,128.89,129.89
1-Oct-17,Inv00259,Cus0207,Pro152,4,5.96,1.37,7.33,8.33
1-Oct-17,Inv00260,Cus0207,Pro145,17,67.83,15.6,83.43,84.43
1-Oct-17,Inv00261,Cus0209,Pro150,2,10.5,2.42,12.92,13.92
1-Oct-17,Inv00262,Cus0209,Pro153,4,27.96,6.43,34.39,35.39
1-Oct-17,Inv00263,Cus0203,Pro147,25,43.75,10.06,53.81,54.81
1-Oct-17,Inv00264,Cus0207,Pro150,12,63,14.49,77.49,78.49
1-Oct-17,Inv00265,Cus0210,Pro145,24,95.76,22.02,117.78,118.78
1-Oct-17,Inv00266,Cus0201,Pro147,16,28,6.44,34.44,35.44
2-Oct-17,Inv00267,Cus0209,Pro152,16,23.84,5.48,29.32,30.32
2-Oct-17,Inv00268,Cus0207,Pro150,11,57.75,13.28,71.03,72.03
2-Oct-17,Inv00269,Cus0208,Pro153,12,83.88,19.29,103.17,104.17
2-Oct-17,Inv00270,Cus0206,Pro151,11,30.25,6.96,37.21,38.21
2-Oct-17,Inv00271,Cus0203,Pro146,6,10.5,2.42,12.92,13.92
2-Oct-17,Inv00272,Cus0207,Pro149,21,89.25,20.53,109.78,110.78
2-Oct-17,Inv00273,Cus0210,Pro149,25,106.25,24.44,130.69,131.69
2-Oct-17,Inv00274,Cus0203,Pro152,16,23.84,5.48,29.32,30.32
2-Oct-17,Inv00275,Cus0202,Pro152,19,28.31,6.51,34.82,35.82
2-Oct-17,Inv00276,Cus0201,Pro146,9,15.75,3.62,19.37,20.37
2-Oct-17,Inv00277,Cus0202,Pro152,24,35.76,8.22,43.98,44.98
2-Oct-17,Inv00278,Cus0209,Pro151,12,33,7.59,40.59,41.59
2-Oct-17,Inv00279,Cus0203,Pro148,24,83.76,19.26,103.02,104.02
2-Oct-17,Inv00280,Cus0201,Pro145,27,107.73,24.78,132.51,133.51
2-Oct-17,Inv00281,Cus0210,Pro154,4,19.96,4.59,24.55,25.55
2-Oct-17,Inv00282,Cus0208,Pro152,13,19.37,4.46,23.83,24.83
2-Oct-17,Inv00283,Cus0205,Pro153,2,13.98,3.22,17.2,18.2
2-Oct-17,Inv00284,Cus0200,Pro147,22,38.5,8.86,47.36,48.36
2-Oct-17,Inv00285,Cus0204,Pro148,23,80.27,18.46,98.73,99.73
2-Oct-17,Inv00286,Cus0200,Pro146,10,17.5,4.03,21.53,22.53
2-Oct-17,Inv00287,Cus0206,Pro150,9,47.25,10.87,58.12,59.12
2-Oct-17,Inv00288,Cus0208,Pro149,17,72.25,16.62,88.87,89.87
2-Oct-17,Inv00289,Cus0200,Pro150,15,78.75,18.11,96.86,97.86
2-Oct-17,Inv00290,Cus0209,Pro151,10,27.5,6.33,33.83,34.83
2-Oct-17,Inv00291,Cus0204,Pro147,23,40.25,9.26,49.51,50.51
2-Oct-17,Inv00292,Cus0202,Pro152,2,2.98,0.69,3.67,4.67
2-Oct-17,Inv00293,Cus0210,Pro151,2,5.5,1.27,6.77,7.77
2-Oct-17,Inv00294,Cus0208,Pro147,26,45.5,10.47,55.97,56.97
3-Oct-17,Inv00295,Cus0204,Pro153,7,48.93,11.25,60.18,61.18
3-Oct-17,Inv00296,Cus0208,Pro151,23,63.25,14.55,77.8,78.8
3-Oct-17,Inv00297,Cus0207,Pro153,22,153.78,35.37,189.15,190.15
3-Oct-17,Inv00298,Cus0203,Pro152,7,10.43,2.4,12.83,13.83
3-Oct-17,Inv00299,Cus0202,Pro149,9,38.25,8.8,47.05,48.05
3-Oct-17,Inv00300,Cus0210,Pro154,11,54.89,12.62,67.51,68.51
3-Oct-17,Inv00301,Cus0210,Pro145,20,79.8,18.35,98.15,99.15
3-Oct-17,Inv00302,Cus0203,Pro151,9,24.75,5.69,30.44,31.44
3-Oct-17,Inv00303,Cus0201,Pro146,21,36.75,8.45,45.2,46.2
